"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x0c8753543966064d1e26a313bf7f5772913f613b08cf7ba4ea40177f5dbcbc90","42760338","1727860828","2024-10-02 09:20:28","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x1d5be8f5f48c36f3e61162f5903c9eb0d1e1b627","59.95176212","$59.98","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x1d652afe1ab34040b79e1365721de8701146c5166cf49d9e7ca0325cb4481c5b","42816654","1728029787","2024-10-04 08:16:27","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x2ac58213344c9d7f787d9e11aeb4a046948f2f85","38","$37.97","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xb10e77fea44bc73c66264a8aeddec73f204489d1e74d8f9069814c0995ad670e","42816701","1728029928","2024-10-04 08:18:48","0x666666665931f8739817e22a0b7ce7f9eff53f3e","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","6,666","N/A","0x1fd90d26820837aaf369446c8e17536594783320","RareAddressCom","Rare Address Generator at https://rareAddress.com"
"0x042490575d47786bef0ed455b358032c7b5face919f2e330c5cd837210e59f6a","42928812","1728366289","2024-10-08 05:44:49","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xd71c269c71e5674b2d8d147533ce7fe5304f3fe3","100","$99.73","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x6fe2cedcd6d7ee3373bf481e6835eb1f16bbac72e87d39034eb03be7df4f828a","42928820","1728366313","2024-10-08 05:45:13","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf1e141e2334680f849858378d6f30b5c604f3fe3","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x6fe2cedcd6d7ee3373bf481e6835eb1f16bbac72e87d39034eb03be7df4f828a","42928820","1728366313","2024-10-08 05:45:13","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf1e141e2334680f849858378d6f30b5c604f3fe3","100","N/A","0x29b48ae2b2cd397a9d779db624d3223f7bdafb22","BEP-20 TOKEN*","BEP-20 TOKEN*"
"0x6d1b274743665af1bbc9f834f1cf02379ab3ec8861bdc0f3233f59523da3cffd","43355213","1729645590","2024-10-23 01:06:30","0xda6265da86fdecc350291f8ae22ecef0957897c9","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","1,605.63","$1,604.86","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xae3aa1a038029153cec224ac9c6247722a5e3c8ace3bf3c7d3176a4e8357884d","43355226","1729645629","2024-10-23 01:07:09","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf1e141e2334680f849858378d6f30b5c604f3fe3","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xae3aa1a038029153cec224ac9c6247722a5e3c8ace3bf3c7d3176a4e8357884d","43355226","1729645629","2024-10-23 01:07:09","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf1e141e2334680f849858378d6f30b5c604f3fe3","100","N/A","0xea6102f639c72306016f64c6b001f97a63d71ae4","UЅDТ","UЅDТ"
"0x616bc12551058ae9e484ee60becddbadfaf0bc0b65174009339d52cb0e2cb8b4","43355424","1729646223","2024-10-23 01:17:03","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xd509ec7a324df8f9d14f7441d1a6e0f6083169a0","35","$34.98","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x90aa84e629f0f93bacbc0d623d2f65e6f4702b8b195e91c1aaa519d4a05a9028","43355451","1729646304","2024-10-23 01:18:24","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xb25a0580ddf68d4aea11d83f1655016e9520f51a","1,100","$1,099.47","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x75b4b4cb8e1c903a02b782acb66d1595382c5d484661f3b3090896c5682b08c9","43355461","1729646334","2024-10-23 01:18:54","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xb66303267a35bb79c31b4bc17eb93da88020f51a","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x75b4b4cb8e1c903a02b782acb66d1595382c5d484661f3b3090896c5682b08c9","43355461","1729646334","2024-10-23 01:18:54","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xb66303267a35bb79c31b4bc17eb93da88020f51a","1,100","N/A","0xea6102f639c72306016f64c6b001f97a63d71ae4","UЅDТ","UЅDТ"
"0xaf27d9d82b39b7cd03985a710b80783be06f014d482f22973886c9e97e76e724","43355510","1729646481","2024-10-23 01:21:21","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xeb81d2bffa5879857d935f5cae76153230cf0cc9","1,100","N/A","0x2e35da702f7e343ac08cdce82b904e4ef525ae80","BEP-20 TOKEN*","BEP-20 TOKEN*"
"0xaf27d9d82b39b7cd03985a710b80783be06f014d482f22973886c9e97e76e724","43355510","1729646481","2024-10-23 01:21:21","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xeb81d2bffa5879857d935f5cae76153230cf0cc9","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xaf27d9d82b39b7cd03985a710b80783be06f014d482f22973886c9e97e76e724","43355510","1729646481","2024-10-23 01:21:21","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x118f564c3c4f825dced343bb30c00e371520f51a","1,100","N/A","0x2e35da702f7e343ac08cdce82b904e4ef525ae80","BEP-20 TOKEN*","BEP-20 TOKEN*"
"0xaf27d9d82b39b7cd03985a710b80783be06f014d482f22973886c9e97e76e724","43355510","1729646481","2024-10-23 01:21:21","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x118f564c3c4f825dced343bb30c00e371520f51a","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x43e8d3eac41d02a47cf6caea3e51690912c3f42c467f9e9db4c7dfc243ed1740","43355665","1729646946","2024-10-23 01:29:06","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xb2c316412f2eb1ecd1d07efd901039645020f51a","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
